Location,Size,Bedroom,Bath,Price,Date of Sale
Pasadena,2050,3,3,237000,4 months ago
Burbank,1400,2,2.5,163000,4 months ago
Van Nuys,2950,7,4.5,461000,1 month ago
Van Nuys,1400,3,2.5,164000,5 months ago
Pasadena,3250,8,4.5,438000,1 month ago
Long Beach,2550,4,4,282000,3 months ago
Burbank,1800,3,3,203000,1 month ago
Pasadena,2100,5,3,239000,6 months ago
San Diego,2000,3,3,238000,1 month ago
Van Nuys,3000,6,4.5,487000,6 months ago
Riverside,3250,7,4.5,470000,4 months ago
Pasadena,3100,7,4.5,493000,3 months ago
Pasadena,3050,7,4.5,425000,6 months ago
Riverside,2800,4,4,363000,1 month ago
Riverside,2900,4,4,249000,3 months ago
Burbank,1900,4,3,239000,3 months ago
Van Nuys,2000,4,3,243000,1 month ago
San Diego,3150,7,4.5,494000,4 months ago
San Diego,2900,5,4,253000,1 month ago
Van Nuys,3150,5,4.5,411000,1 month ago
Van Nuys,2150,3,3,234000,4 months ago
San Diego,2350,6,4,350000,4 months ago
San Diego,1800,3,3,219000,1 month ago
Riverside,3300,7,4.5,466000,6 months ago
San Diego,1650,5,3,204000,5 months ago
Long Beach,2750,4,4,239000,6 months ago
Pasadena,2650,4,4,306000,5 months ago
Riverside,2550,4,4,288000,3 months ago
Burbank,1600,4,3,175000,1 month ago
San Diego,2800,4,4,271000,4 months ago
Riverside,2750,4,4,267000,6 months ago
Long Beach,2750,4,4,246000,1 month ago
Pasadena,1650,4,3,197000,3 months ago
Van Nuys,1200,3,2.5,150000,2 months ago
Van Nuys,3000,8,4.5,518000,3 months ago
Burbank,2100,3,3,198000,6 months ago
Burbank,2650,4,4,372000,5 months ago
Burbank,3400,5,4.5,429000,5 months ago
Riverside,2700,6,4,412000,3 months ago
Long Beach,1300,3,2.5,148000,4 months ago
Riverside,2800,4,4,379000,4 months ago
Pasadena,2400,6,4,312000,5 months ago
Pasadena,2400,5,4,393000,5 months ago
Pasadena,2500,5,4,395000,6 months ago
Pasadena,1700,4,3,181000,2 months ago
Long Beach,2000,3,3,193000,3 months ago
San Diego,2700,4,4,315000,3 months ago
Burbank,2350,5,4,388000,2 months ago
Long Beach,3100,7,4.5,430000,6 months ago
San Diego,2250,4,3,234000,2 months ago
Pasadena,1150,2,2.5,171000,1 month ago
Riverside,1400,2,2.5,173000,1 month ago
Van Nuys,1150,2,2.5,166000,1 month ago
Pasadena,1750,4,3,151000,1 month ago
San Diego,2000,5,3,224000,2 months ago
Riverside,3300,7,4.5,512000,2 months ago
Long Beach,1400,3,2.5,153000,6 months ago
Pasadena,1200,3,2.5,173000,2 months ago
Pasadena,2700,6,4,270000,2 months ago
Van Nuys,3250,5,4.5,493000,4 months ago
Van Nuys,2800,5,4,310000,5 months ago
Pasadena,2500,4,4,431000,1 month ago
San Diego,2550,5,4,434000,3 months ago
Burbank,2150,5,3,176000,4 months ago
Pasadena,1100,2,2.5,171000,1 month ago
Riverside,2700,6,4,325000,6 months ago
Burbank,3100,7,4.5,478000,3 months ago
Long Beach,2250,5,3,165000,1 month ago
Pasadena,1250,3,2.5,170000,5 months ago
Burbank,2100,4,3,206000,3 months ago
Pasadena,1600,3,3,201000,2 months ago
Long Beach,2750,5,4,401000,3 months ago
Burbank,3300,6,4.5,490000,5 months ago
Long Beach,2650,5,4,324000,3 months ago
Pasadena,1600,4,3,219000,1 month ago
San Diego,2900,5,4,375000,6 months ago
Pasadena,3150,7,4.5,451000,2 months ago
San Diego,1550,5,3,226000,6 months ago
Riverside,1900,5,3,230000,4 months ago
Pasadena,3050,6,4.5,417000,4 months ago
Riverside,1300,3,2.5,168000,2 months ago
Long Beach,1800,5,3,214000,4 months ago
Riverside,3000,5,4.5,446000,6 months ago
Pasadena,1650,5,3,174000,5 months ago
Pasadena,2950,5,4.5,417000,5 months ago
Riverside,1900,5,3,230000,4 months ago
Pasadena,2750,6,4,440000,6 months ago
Burbank,1550,5,3,245000,1 month ago
Long Beach,2450,4,4,313000,4 months ago
Long Beach,2650,6,4,355000,3 months ago
Burbank,2050,4,3,165000,4 months ago
Pasadena,1400,3,2.5,165000,2 months ago
Long Beach,2750,4,4,240000,2 months ago
Riverside,3100,6,4.5,449000,3 months ago
Burbank,1400,2,2.5,145000,5 months ago
Pasadena,1500,3,2.5,163000,3 months ago
Burbank,2000,5,3,169000,5 months ago
Riverside,1450,3,2.5,153000,3 months ago
San Diego,2900,6,4,405000,2 months ago
Riverside,3300,7,4.5,512000,6 months ago
Burbank,2500,5,4,382000,5 months ago
Burbank,2500,4,4,382000,2 months ago
Burbank,2950,5,4.5,470000,3 months ago
Burbank,2950,6,4.5,498000,5 months ago
San Diego,2550,6,4,406000,2 months ago
Burbank,2450,4,4,287000,3 months ago
Burbank,3000,8,4.5,418000,2 months ago
Pasadena,1100,2,2.5,163000,6 months ago
Van Nuys,1850,3,3,209000,3 months ago
Pasadena,1550,3,3,195000,1 month ago
Pasadena,1100,2,2.5,163000,3 months ago
Van Nuys,2000,3,3,166000,4 months ago
San Diego,3150,5,4.5,483000,1 month ago
Van Nuys,3300,7,4.5,481000,5 months ago
Van Nuys,2450,5,4,368000,3 months ago
Long Beach,1500,2,2.5,165000,4 months ago
Riverside,3200,6,4.5,414000,1 month ago
San Diego,2400,5,4,386000,6 months ago
Long Beach,3400,8,4.5,447000,3 months ago
Riverside,1350,3,2.5,174000,1 month ago
Pasadena,1850,3,3,168000,1 month ago
Pasadena,2100,4,3,161000,6 months ago
Van Nuys,2450,6,4,417000,1 month ago
Long Beach,1350,3,2.5,166000,4 months ago
Burbank,2650,5,4,320000,4 months ago
Pasadena,3000,5,4.5,456000,1 month ago
Pasadena,1950,4,3,178000,4 months ago
Pasadena,1550,4,3,186000,6 months ago
Long Beach,1200,3,2.5,154000,6 months ago
Van Nuys,2800,4,4,274000,5 months ago
Long Beach,1550,3,3,182000,2 months ago
Riverside,2900,6,4,352000,1 month ago
Pasadena,1550,3,3,186000,2 months ago
Burbank,3150,7,4.5,443000,5 months ago
Riverside,2050,5,3,176000,3 months ago
Burbank,1700,5,3,230000,3 months ago
Long Beach,2750,5,4,423000,1 month ago
San Diego,2800,6,4,286000,2 months ago
Long Beach,2150,4,3,197000,6 months ago
Burbank,1300,2,2.5,159000,5 months ago
Riverside,1100,3,2.5,173000,5 months ago
Long Beach,1500,3,2.5,151000,4 months ago
Burbank,2700,6,4,258000,5 months ago
Long Beach,2050,4,3,193000,5 months ago
San Diego,1600,4,3,182000,4 months ago
San Diego,2950,7,4.5,422000,5 months ago
Pasadena,1700,4,3,214000,6 months ago
Van Nuys,2500,6,4,374000,5 months ago
San Diego,2550,6,4,397000,6 months ago
Riverside,3050,6,4.5,415000,2 months ago
San Diego,2900,5,4,285000,6 months ago
San Diego,1400,2,2.5,153000,2 months ago
Pasadena,2100,4,3,243000,1 month ago
San Diego,1550,5,3,159000,2 months ago
Van Nuys,2850,4,4,311000,6 months ago
Burbank,2000,4,3,185000,3 months ago
Long Beach,1300,3,2.5,156000,3 months ago
Van Nuys,1950,4,3,189000,1 month ago
Pasadena,2500,4,4,280000,6 months ago
Long Beach,3400,5,4.5,419000,5 months ago
San Diego,2500,6,4,424000,4 months ago
Van Nuys,1400,2,2.5,165000,4 months ago
San Diego,2800,6,4,401000,6 months ago
San Diego,1750,3,3,158000,1 month ago
Van Nuys,2250,4,3,220000,3 months ago
Burbank,2500,6,4,279000,1 month ago
Long Beach,2700,4,4,284000,1 month ago
Van Nuys,1300,3,2.5,173000,1 month ago
Long Beach,3150,7,4.5,495000,3 months ago
Pasadena,3100,6,4.5,484000,1 month ago
Riverside,3100,8,4.5,445000,4 months ago
San Diego,3000,7,4.5,420000,6 months ago
Burbank,2200,5,3,209000,2 months ago
Van Nuys,1150,3,2.5,140000,6 months ago
Long Beach,3350,6,4.5,481000,3 months ago
San Diego,1850,5,3,171000,6 months ago
Riverside,2250,3,3,194000,5 months ago
Pasadena,1550,5,3,235000,6 months ago
San Diego,3350,7,4.5,461000,2 months ago
Riverside,1550,4,3,193000,5 months ago
Van Nuys,1500,2,2.5,143000,4 months ago
Burbank,1100,2,2.5,165000,5 months ago
Riverside,1400,2,2.5,156000,4 months ago
Van Nuys,2400,4,4,409000,6 months ago
Pasadena,1500,3,2.5,155000,1 month ago
Burbank,1250,3,2.5,170000,6 months ago
Van Nuys,1800,5,3,192000,5 months ago
Van Nuys,3200,8,4.5,419000,5 months ago
Van Nuys,1350,2,2.5,150000,2 months ago
Long Beach,2250,3,3,164000,6 months ago
Burbank,1350,3,2.5,151000,1 month ago
Long Beach,3300,5,4.5,437000,5 months ago
San Diego,3150,7,4.5,411000,6 months ago
Burbank,2600,6,4,382000,6 months ago
Riverside,2250,3,3,218000,3 months ago
Burbank,1600,5,3,239000,2 months ago
Pasadena,1350,2,2.5,145000,5 months ago
Long Beach,2050,4,3,150000,5 months ago
Van Nuys,2700,5,4,340000,4 months ago
Burbank,1950,3,3,224000,6 months ago
Riverside,1400,3,2.5,168000,6 months ago
Long Beach,1850,5,3,158000,4 months ago
Van Nuys,2700,6,4,291000,3 months ago
Burbank,1750,5,3,200000,5 months ago
Long Beach,2150,3,3,172000,5 months ago
Long Beach,1600,4,3,194000,3 months ago
Burbank,2150,4,3,237000,3 months ago
Van Nuys,2200,4,3,151000,6 months ago
Burbank,3200,5,4.5,424000,4 months ago
Long Beach,1650,3,3,184000,5 months ago
Long Beach,3100,8,4.5,493000,1 month ago
San Diego,1950,5,3,229000,6 months ago
Burbank,2450,6,4,233000,6 months ago
Pasadena,1500,2,2.5,150000,4 months ago
San Diego,2100,5,3,246000,6 months ago
San Diego,1850,4,3,217000,6 months ago
Riverside,1550,4,3,151000,5 months ago
Burbank,1300,3,2.5,157000,5 months ago
Burbank,1950,5,3,186000,5 months ago
Burbank,2400,6,4,348000,3 months ago
San Diego,3300,8,4.5,466000,6 months ago
Long Beach,2450,5,4,274000,4 months ago
Van Nuys,3400,6,4.5,418000,4 months ago
Pasadena,3000,7,4.5,416000,4 months ago
Van Nuys,3150,7,4.5,419000,2 months ago
Pasadena,2650,4,4,253000,1 month ago
Long Beach,1900,5,3,153000,4 months ago
Riverside,1900,3,3,156000,1 month ago
Van Nuys,2150,4,3,221000,4 months ago
Van Nuys,2050,5,3,221000,5 months ago
Burbank,1800,3,3,217000,3 months ago
Long Beach,2400,5,4,322000,6 months ago
San Diego,3350,6,4.5,475000,6 months ago
Riverside,1700,3,3,232000,4 months ago
Long Beach,2250,4,3,231000,2 months ago
Riverside,3400,8,4.5,455000,2 months ago
Long Beach,2800,6,4,261000,3 months ago
Long Beach,2050,3,3,193000,1 month ago
Riverside,2100,4,3,209000,5 months ago
Long Beach,2600,4,4,425000,4 months ago
Burbank,2100,5,3,238000,4 months ago
Riverside,1750,3,3,174000,5 months ago
Long Beach,3100,5,4.5,423000,2 months ago
Van Nuys,2200,4,3,216000,4 months ago
Long Beach,1800,3,3,195000,1 month ago
Riverside,3050,7,4.5,503000,5 months ago
Pasadena,2100,5,3,222000,6 months ago
San Diego,3300,7,4.5,458000,4 months ago
San Diego,2700,5,4,411000,2 months ago
Van Nuys,1900,3,3,195000,1 month ago
Burbank,2500,5,4,286000,2 months ago
Van Nuys,2500,5,4,270000,2 months ago
Pasadena,3400,5,4.5,427000,1 month ago
Van Nuys,2950,6,4.5,485000,2 months ago
Burbank,1500,3,2.5,142000,5 months ago
Riverside,2150,5,3,237000,5 months ago
Pasadena,1750,5,3,176000,1 month ago
Long Beach,3400,8,4.5,486000,2 months ago
Long Beach,3150,7,4.5,482000,3 months ago
Van Nuys,2950,8,4.5,428000,6 months ago
San Diego,2600,4,4,296000,4 months ago
Long Beach,2700,5,4,285000,6 months ago
San Diego,2250,5,3,200000,6 months ago
Riverside,2800,4,4,273000,5 months ago
Burbank,1250,2,2.5,152000,3 months ago
Van Nuys,2450,5,4,411000,2 months ago
Pasadena,1100,2,2.5,161000,6 months ago
Riverside,1800,5,3,241000,1 month ago
Burbank,1550,5,3,168000,4 months ago
Van Nuys,1550,3,3,174000,2 months ago
Burbank,1900,5,3,183000,5 months ago
San Diego,2100,3,3,172000,5 months ago
Burbank,2900,4,4,341000,5 months ago
Pasadena,1750,4,3,171000,4 months ago
Long Beach,1900,4,3,227000,5 months ago
Van Nuys,2150,5,3,250000,5 months ago
Pasadena,1450,3,2.5,140000,2 months ago
Van Nuys,2350,5,4,395000,2 months ago
Van Nuys,1600,4,3,162000,4 months ago
Riverside,2250,4,3,230000,5 months ago
Burbank,3250,6,4.5,518000,2 months ago
San Diego,1250,3,2.5,147000,2 months ago
Van Nuys,2750,4,4,378000,6 months ago
Riverside,3300,7,4.5,495000,2 months ago
San Diego,3150,7,4.5,467000,6 months ago
Long Beach,3300,5,4.5,442000,1 month ago
Van Nuys,3000,6,4.5,429000,3 months ago
Long Beach,1400,3,2.5,146000,4 months ago
Riverside,1100,3,2.5,151000,1 month ago
San Diego,3150,5,4.5,519000,3 months ago
Pasadena,1500,3,2.5,141000,2 months ago
San Diego,2600,4,4,400000,3 months ago
Burbank,2750,4,4,317000,6 months ago
Burbank,3150,8,4.5,416000,2 months ago
Riverside,3000,7,4.5,464000,3 months ago
Riverside,2900,5,4,264000,3 months ago
Pasadena,2400,4,4,383000,4 months ago
Burbank,2450,6,4,372000,5 months ago
Pasadena,3150,7,4.5,471000,4 months ago
Pasadena,2400,6,4,301000,2 months ago
Long Beach,2450,4,4,434000,6 months ago
Riverside,1150,2,2.5,145000,6 months ago
Riverside,2900,6,4,242000,2 months ago
Van Nuys,1400,3,2.5,174000,5 months ago
Van Nuys,1200,3,2.5,153000,3 months ago
Pasadena,2200,5,3,224000,1 month ago
Burbank,2200,5,3,187000,1 month ago
Burbank,1700,5,3,164000,4 months ago
Riverside,3000,8,4.5,513000,3 months ago
Burbank,2750,4,4,242000,6 months ago
Long Beach,1450,3,2.5,164000,3 months ago
Long Beach,3300,6,4.5,446000,4 months ago
San Diego,1800,5,3,202000,5 months ago
Van Nuys,1200,3,2.5,141000,5 months ago
Pasadena,2250,5,3,186000,4 months ago
Van Nuys,2350,4,4,269000,1 month ago
Pasadena,1750,4,3,241000,2 months ago
San Diego,1200,3,2.5,147000,4 months ago
Van Nuys,2100,5,3,207000,3 months ago
San Diego,1300,2,2.5,146000,4 months ago
Riverside,1850,4,3,151000,6 months ago
Long Beach,1750,3,3,248000,2 months ago
San Diego,2500,5,4,348000,1 month ago
Pasadena,2750,6,4,358000,3 months ago
Long Beach,1650,4,3,185000,3 months ago
Riverside,2250,4,3,160000,2 months ago
San Diego,3300,5,4.5,467000,1 month ago
Riverside,1850,4,3,197000,4 months ago
Van Nuys,1500,2,2.5,144000,6 months ago
Riverside,2300,3,3,222000,3 months ago
San Diego,1600,5,3,204000,1 month ago
Long Beach,2150,5,3,188000,3 months ago
Burbank,1550,3,3,212000,6 months ago
San Diego,3050,6,4.5,431000,4 months ago
San Diego,2450,4,4,415000,3 months ago
Pasadena,2100,5,3,157000,3 months ago
San Diego,1850,4,3,184000,2 months ago
San Diego,2800,6,4,382000,4 months ago
Riverside,1300,3,2.5,168000,6 months ago
Riverside,1250,2,2.5,173000,6 months ago
Van Nuys,3250,7,4.5,490000,6 months ago
San Diego,1700,3,3,240000,2 months ago
Van Nuys,3000,6,4.5,509000,2 months ago
Long Beach,1650,4,3,162000,1 month ago
Long Beach,2250,4,3,237000,5 months ago
San Diego,3000,6,4.5,415000,5 months ago
Burbank,3050,6,4.5,515000,2 months ago
Burbank,3100,8,4.5,461000,5 months ago
Pasadena,2450,4,4,271000,3 months ago
Pasadena,1450,2,2.5,161000,5 months ago
Long Beach,2100,3,3,169000,3 months ago
Burbank,2200,5,3,230000,2 months ago
Van Nuys,1550,3,3,239000,2 months ago
San Diego,1450,3,2.5,146000,2 months ago
Burbank,1600,5,3,201000,5 months ago
Pasadena,1400,3,2.5,166000,1 month ago
San Diego,1650,3,3,150000,2 months ago
Pasadena,3000,5,4.5,481000,6 months ago
Pasadena,2050,3,3,249000,1 month ago
San Diego,1250,2,2.5,142000,2 months ago
San Diego,1700,5,3,206000,5 months ago
Burbank,2150,3,3,176000,1 month ago
Long Beach,2400,5,4,420000,6 months ago
San Diego,2100,3,3,183000,2 months ago
Van Nuys,3000,5,4.5,508000,5 months ago
Riverside,3200,6,4.5,472000,1 month ago
Riverside,2350,6,4,346000,4 months ago
Burbank,2300,5,3,249000,4 months ago
Riverside,1500,3,2.5,150000,6 months ago
Riverside,2850,4,4,383000,4 months ago
Burbank,1800,5,3,187000,4 months ago
Long Beach,1250,2,2.5,145000,6 months ago
Riverside,2900,4,4,421000,6 months ago
San Diego,1850,3,3,226000,3 months ago
San Diego,3350,6,4.5,458000,5 months ago
Pasadena,1400,2,2.5,151000,6 months ago
Van Nuys,3150,5,4.5,453000,5 months ago
Long Beach,1400,2,2.5,155000,2 months ago
Pasadena,3200,7,4.5,449000,5 months ago
Riverside,1100,2,2.5,160000,5 months ago
Burbank,1400,2,2.5,161000,4 months ago
Burbank,1400,2,2.5,144000,4 months ago
Long Beach,2300,4,3,223000,2 months ago
Pasadena,1250,3,2.5,170000,4 months ago
Van Nuys,2700,5,4,359000,1 month ago
Riverside,1250,2,2.5,140000,5 months ago
Pasadena,3400,8,4.5,501000,2 months ago
Riverside,1950,5,3,172000,6 months ago
Van Nuys,1950,4,3,163000,3 months ago
Van Nuys,2300,4,3,171000,6 months ago
Long Beach,2400,4,4,290000,3 months ago
Long Beach,3050,7,4.5,459000,5 months ago
Pasadena,2650,5,4,264000,3 months ago
Long Beach,3300,6,4.5,473000,4 months ago
Burbank,3000,8,4.5,462000,3 months ago
Van Nuys,1850,3,3,185000,1 month ago
Long Beach,2650,6,4,396000,6 months ago
Van Nuys,2500,5,4,322000,6 months ago
Pasadena,2650,6,4,375000,6 months ago
Burbank,3000,7,4.5,445000,3 months ago
Long Beach,2850,6,4,406000,1 month ago
Pasadena,2800,4,4,426000,1 month ago
Burbank,3000,6,4.5,413000,4 months ago
Burbank,2550,5,4,244000,1 month ago
Riverside,1800,3,3,182000,5 months ago
Van Nuys,2750,4,4,375000,4 months ago
San Diego,2400,4,4,313000,6 months ago
Long Beach,2000,4,3,228000,1 month ago
San Diego,2550,4,4,340000,3 months ago
Pasadena,3050,8,4.5,449000,2 months ago
Burbank,2450,5,4,424000,5 months ago
San Diego,1550,5,3,247000,3 months ago
Van Nuys,1900,5,3,157000,5 months ago
Burbank,2100,4,3,164000,2 months ago
Pasadena,3150,8,4.5,476000,5 months ago
Pasadena,2850,6,4,335000,4 months ago
Van Nuys,1450,2,2.5,141000,3 months ago
Van Nuys,2750,6,4,314000,4 months ago
San Diego,3050,7,4.5,476000,5 months ago
San Diego,2850,4,4,376000,4 months ago
Pasadena,1600,4,3,163000,2 months ago
San Diego,1150,2,2.5,150000,2 months ago
Van Nuys,1950,3,3,178000,1 month ago
Burbank,2050,4,3,161000,1 month ago
Van Nuys,1500,2,2.5,166000,6 months ago
Van Nuys,2550,4,4,291000,5 months ago
Riverside,3400,8,4.5,471000,4 months ago
Long Beach,2950,8,4.5,440000,4 months ago
Long Beach,2100,3,3,245000,3 months ago
Riverside,2800,5,4,401000,3 months ago
Van Nuys,3150,7,4.5,512000,3 months ago
Burbank,2350,4,4,298000,1 month ago
Van Nuys,1850,4,3,214000,6 months ago
Long Beach,1350,2,2.5,153000,1 month ago
Van Nuys,3400,5,4.5,453000,5 months ago
Pasadena,1800,4,3,211000,1 month ago
Pasadena,3350,5,4.5,422000,3 months ago
Pasadena,1600,3,3,215000,5 months ago
Pasadena,3350,6,4.5,515000,5 months ago
Riverside,2300,5,3,159000,5 months ago
Long Beach,1800,3,3,169000,4 months ago
San Diego,3250,5,4.5,411000,2 months ago
Long Beach,1350,3,2.5,152000,3 months ago
Riverside,1500,3,2.5,164000,6 months ago
Pasadena,1250,3,2.5,166000,3 months ago
Long Beach,2800,5,4,406000,1 month ago
Burbank,1350,3,2.5,142000,6 months ago
Van Nuys,2400,5,4,281000,2 months ago
Long Beach,2000,3,3,150000,4 months ago
Long Beach,1150,3,2.5,175000,4 months ago
Pasadena,1500,2,2.5,173000,3 months ago
Pasadena,3400,6,4.5,480000,4 months ago
San Diego,1250,3,2.5,152000,4 months ago
Riverside,2300,4,3,214000,2 months ago
Riverside,2950,8,4.5,492000,6 months ago
Riverside,2000,5,3,240000,4 months ago
Burbank,2300,3,3,226000,2 months ago
San Diego,1950,3,3,190000,3 months ago
Long Beach,1100,2,2.5,141000,6 months ago
Van Nuys,1150,2,2.5,163000,1 month ago
Van Nuys,2450,5,4,292000,5 months ago
Burbank,3200,7,4.5,472000,6 months ago
San Diego,2850,6,4,249000,5 months ago
Van Nuys,1950,5,3,215000,6 months ago
Pasadena,1600,3,3,168000,4 months ago
Pasadena,2600,6,4,232000,6 months ago
Riverside,2500,4,4,269000,5 months ago
Riverside,1750,3,3,238000,3 months ago
Long Beach,1300,2,2.5,147000,6 months ago
Riverside,2250,3,3,225000,4 months ago
Van Nuys,2650,6,4,402000,3 months ago
Pasadena,3350,7,4.5,480000,2 months ago
Pasadena,2750,5,4,377000,2 months ago
Pasadena,2150,5,3,166000,4 months ago
Van Nuys,1150,2,2.5,159000,3 months ago
Riverside,3100,5,4.5,418000,5 months ago
Riverside,2750,6,4,393000,1 month ago
Long Beach,2450,4,4,294000,3 months ago
Burbank,1900,3,3,220000,5 months ago
Pasadena,1150,2,2.5,144000,4 months ago
San Diego,2550,6,4,260000,4 months ago
San Diego,1250,3,2.5,167000,2 months ago
Van Nuys,1150,2,2.5,155000,1 month ago
Van Nuys,2650,6,4,374000,6 months ago
Van Nuys,2250,5,3,242000,6 months ago
San Diego,1600,5,3,225000,2 months ago
Van Nuys,2450,5,4,241000,1 month ago
Riverside,1750,3,3,233000,5 months ago
San Diego,1150,2,2.5,168000,4 months ago
San Diego,2650,5,4,319000,2 months ago
Riverside,1500,2,2.5,172000,5 months ago
San Diego,3100,8,4.5,519000,2 months ago
Burbank,1450,3,2.5,159000,5 months ago
San Diego,2900,4,4,317000,1 month ago
Pasadena,1750,3,3,192000,3 months ago
Burbank,3150,7,4.5,434000,1 month ago
Long Beach,1850,4,3,201000,6 months ago
Pasadena,2650,4,4,426000,4 months ago
Riverside,1850,5,3,225000,2 months ago
Burbank,3250,8,4.5,492000,3 months ago
Riverside,1650,4,3,162000,3 months ago
Pasadena,1650,3,3,228000,1 month ago
Riverside,1600,5,3,153000,3 months ago
Burbank,2650,4,4,352000,6 months ago
Burbank,1700,5,3,194000,4 months ago
Riverside,2350,6,4,278000,5 months ago
Burbank,3350,8,4.5,496000,1 month ago
Van Nuys,2100,5,3,197000,1 month ago
Burbank,2000,5,3,155000,2 months ago
Pasadena,1650,3,3,229000,4 months ago
San Diego,3150,6,4.5,459000,5 months ago
San Diego,2950,7,4.5,500000,3 months ago
Riverside,1550,5,3,201000,3 months ago
Riverside,2150,4,3,189000,1 month ago
Van Nuys,1150,2,2.5,162000,2 months ago
Long Beach,3150,7,4.5,429000,2 months ago
Riverside,2900,6,4,436000,5 months ago
Riverside,3150,6,4.5,468000,1 month ago
Pasadena,2500,4,4,362000,2 months ago
San Diego,2100,3,3,185000,4 months ago
Riverside,2100,4,3,202000,3 months ago
Riverside,1450,2,2.5,154000,6 months ago
Riverside,1450,2,2.5,175000,6 months ago
Riverside,2450,6,4,402000,5 months ago
Pasadena,2700,4,4,396000,3 months ago
San Diego,3350,8,4.5,449000,2 months ago
Pasadena,2150,4,3,232000,1 month ago
Burbank,3000,8,4.5,421000,1 month ago
Burbank,2850,6,4,318000,4 months ago
Van Nuys,2350,6,4,413000,1 month ago
San Diego,3300,7,4.5,418000,3 months ago
Pasadena,1250,2,2.5,153000,3 months ago
Burbank,2550,5,4,325000,4 months ago
Pasadena,3300,5,4.5,440000,3 months ago
Pasadena,3350,8,4.5,460000,1 month ago
Long Beach,1200,3,2.5,164000,3 months ago
Burbank,2550,4,4,363000,5 months ago
Burbank,1350,2,2.5,152000,3 months ago
Burbank,1550,4,3,237000,3 months ago
San Diego,1250,3,2.5,151000,6 months ago
Riverside,3350,7,4.5,478000,3 months ago
Pasadena,3400,5,4.5,426000,5 months ago
Long Beach,1900,3,3,247000,1 month ago
Pasadena,1450,2,2.5,142000,6 months ago
San Diego,3300,6,4.5,507000,4 months ago
Burbank,3200,6,4.5,507000,2 months ago
San Diego,3050,5,4.5,475000,6 months ago
Burbank,3150,8,4.5,469000,3 months ago
Burbank,2250,5,3,189000,4 months ago
Burbank,2500,4,4,358000,6 months ago
Long Beach,2500,5,4,264000,3 months ago
Long Beach,1100,3,2.5,166000,5 months ago
Pasadena,1500,2,2.5,149000,6 months ago
San Diego,1500,3,2.5,140000,6 months ago
Pasadena,1550,5,3,246000,2 months ago
San Diego,3000,5,4.5,434000,3 months ago
Burbank,3150,6,4.5,484000,6 months ago
Riverside,3250,8,4.5,445000,4 months ago
Long Beach,2450,4,4,250000,6 months ago
Riverside,2950,7,4.5,411000,1 month ago
Van Nuys,1900,3,3,150000,3 months ago
Pasadena,2750,4,4,409000,2 months ago
San Diego,3350,7,4.5,517000,4 months ago
Pasadena,2250,3,3,198000,3 months ago
Van Nuys,2800,4,4,359000,5 months ago
Long Beach,2300,5,3,174000,4 months ago
Riverside,2000,5,3,207000,4 months ago
Pasadena,3250,7,4.5,509000,1 month ago
San Diego,3100,6,4.5,430000,2 months ago
Long Beach,1450,2,2.5,156000,4 months ago
Riverside,2100,4,3,229000,3 months ago
Riverside,1850,3,3,210000,5 months ago
San Diego,2700,4,4,269000,3 months ago
Van Nuys,1500,3,2.5,172000,3 months ago
Riverside,2400,4,4,272000,1 month ago
Long Beach,1550,3,3,164000,3 months ago
Van Nuys,2250,5,3,169000,1 month ago
San Diego,1700,5,3,153000,6 months ago
San Diego,3300,8,4.5,442000,1 month ago
Riverside,2750,5,4,314000,6 months ago
Pasadena,2600,4,4,413000,6 months ago
Burbank,1650,3,3,171000,1 month ago
Riverside,1850,4,3,150000,4 months ago
Van Nuys,2050,4,3,244000,4 months ago
Van Nuys,1250,3,2.5,173000,4 months ago
Burbank,1700,5,3,167000,2 months ago
San Diego,3000,6,4.5,510000,5 months ago
Riverside,3250,8,4.5,440000,4 months ago
Burbank,1950,3,3,234000,4 months ago
San Diego,2200,3,3,242000,1 month ago
Van Nuys,1850,3,3,189000,1 month ago
Pasadena,2850,6,4,231000,4 months ago
Pasadena,2500,6,4,385000,5 months ago
Van Nuys,2550,4,4,440000,5 months ago
Pasadena,2800,4,4,350000,1 month ago
Pasadena,1950,5,3,191000,3 months ago
Long Beach,3100,5,4.5,415000,2 months ago
Pasadena,2600,5,4,301000,1 month ago
Van Nuys,1950,5,3,231000,1 month ago
Pasadena,1250,3,2.5,152000,4 months ago
San Diego,2800,5,4,335000,1 month ago
Riverside,1200,3,2.5,174000,6 months ago
Burbank,2650,5,4,386000,2 months ago
Riverside,1900,5,3,156000,4 months ago
Pasadena,2900,4,4,392000,2 months ago
Burbank,1900,4,3,170000,2 months ago
San Diego,3200,5,4.5,421000,1 month ago
Long Beach,2700,5,4,267000,2 months ago
Riverside,1800,4,3,207000,6 months ago
Van Nuys,2100,3,3,166000,1 month ago
Van Nuys,2800,5,4,422000,1 month ago
Van Nuys,1400,3,2.5,156000,2 months ago
Van Nuys,2600,6,4,341000,2 months ago
Van Nuys,1700,3,3,240000,3 months ago
Riverside,3000,8,4.5,420000,1 month ago
Riverside,3150,8,4.5,486000,6 months ago
Burbank,3000,7,4.5,449000,6 months ago
Pasadena,1250,2,2.5,171000,6 months ago
Van Nuys,2150,4,3,193000,5 months ago
Burbank,2000,3,3,172000,2 months ago
Pasadena,2600,4,4,347000,4 months ago
Riverside,1850,3,3,237000,6 months ago
